"name","city","province","hotel_rating","absolute"
"Norwood Inn and Suites","Burnsville","MN",2.28571428571429,7
"Old Wheeler Hotel","Wheeler","OR",2,1
"Palm Suites","Atlantic Beach","Pine Knoll Shores",3.66666666666667,6
"Parkside Inn At Incline","Incline Village","NV",2.875,8
"Plaza Hotel and Casino - Las Vegas","Las Vegas","NV",2.625,24
"Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive","Virginia Beach","VA",3.5,8
"Quality Inn","Cleveland","TN",2.5,2
"Quality Inn & Suites","Denver","Westminster",3.5,2
"Quality Inn and Suites","Bossier City","LA",3.5,2
"Quality Inn and Suites Big Rapids","Big Rapids","MI",3,3
"Quality Inn and Suites Eugene-springfield","Springfield","Spfld",2.75,4
"Quality Inn and Suites Irvine Spectrum","Lake Forest","CA",3.375,8
"Quality Inn Gulfport","Gulfport","Orange Grove",2.4,5
"Quality Inn Johnson City","Johnson City","TN",3.25,4
"Quality Inn Long Beach Airport","Signal Hill","CA",3.375,8
"Quality Inn Near Six Flags","Douglasville","GA",5,1
"Quality Inn Spearfish","Spearfish","SD",2,1
"Quality Suites Intercontinental Airport West","Houston","TX",2.57142857142857,7
"Quinta Real Acapulco","Whigham","GA",1.4,5
"Radisson Blu Conference and Airport Hotel","Englewood","FL",3.6,5
"Radisson Hotel Hauppauge-long Island","Hauppauge","NY",4,1
"Red Carpet Inn","Windom","MN",4,1
"Red Rest Inn","Macon","GA",4.5,4
"Red Roof Inn St Louis - Troy","Troy","IL",3.33333333333333,6
"Residence Inn By Marriott Deptford","West Deptford","Woodbury",3.16666666666667,6
"Residence Inn By Marriott Fort Lauderdale Weston","Fort Lauderdale","Southwest Ranches",3.22222222222222,9
"Residence Inn By Marriott Hartford Downtown","Hartford","CT",4,3
"Residence Inn By Marriott Irvine John Wayne Airport","Irvine","CA",3.4,5
"Residence Inn By Marriott Springdale","Springdale","AR",3,2
"Residence Inn By Marriott Tucson Williams Centre","Tucson","AZ",4.5,2
"Samui Cliff View Resort & Spa","Eden","UT",2,2
"Sheraton Offenbach Hotel","Northbrook","IL",4.25,4
"Simpson House Inn","Santa Barbara","CA",3.57142857142857,7
"Sleep Inn At Harbour View","Little River","SC",2.9,10
"Sleep Inn Slidell","Slidell","LA",4,2
"Sombrero Resort and Marina","Marathon","Grassy Key",2.14285714285714,7
"Sportsmen's Lodge","Studio City","CA",2.71428571428571,7
"Springhill Suites By Marriott Sarasota Bradenton","Sarasota","FL",5,1
"Studio 6","Kenedy","TX",4,1
"Suburban Extended Stay of Memphis Bartlett","Memphis","Mphs",3,1
"Summit At Big Sky","Big Sky","MT",3.66666666666667,3
"Super 8 - Effingham","Effingham","Boggsville",3.25,4
"Super 8 - Upland","Upland","CA",2.33333333333333,9
"Super 8 Batesville Ar","Batesville","AR",4,1
"Super 8 Big Cabin Vinita Ok","Vinita","White Oak",2.66666666666667,3
"Super 8 Bradenton Sarasota Area","Bradenton","FL",3,6
"Super 8 Columbia Dwntwn Sc","Columbia","SC",1.5,2
"Super 8 Crete Ne","Crete","Kramer",3.2,5
"Super 8 Elko Nv","Elko","North Fork",2.5,4
"Super 8 Fort Collins","Fort Collins","CO",1,2
"Super 8 Indianapolis","Indianapolis","IN",5,1
"Super 8 Kansas City Airport","Kansas City","MO",2.5,6
"Super 8 Kingston","Kingston","TN",3,2
"Super 8 Madison","Madison","GA",2.66666666666667,3
"Super 8 Manhattan Ks","Manhattan","KS",4,1
"Super 8 Pittsburgh/monroeville","Pittsburgh","Pitt",2.5,4
"Super 8 Schenect/albany Area","Schenectady","NY",2.5,4
"The Grove Seaside Hotel","Glen Burnie","MD",2,1
"The Houstonian Hotel","Houston","Bunker Hill Village",3.88888888888889,9
"The Jayakarta Bali","Arvada","CO",2.8,5
"The Kinney - Venice Beach","Marina Del Rey","CA",2,1
"The Savoy Hotel","Miami Beach","Venetian Islands",2.9,10
"The Westin Buckhead","Atlanta","GA",3,1
"The Westin Europa and Regina","Cave Spring","GA",4,2
"Tidewater Inn","West Yarmouth","Yarmouth",3.84615384615385,13
"Travelodge Anaheim Convention Center","Anaheim","CA",2.45454545454545,11
"Travelodge Ruther Glen","Ruther Glen","VA",2.5,2
"Tryp Dusseldorf Krefeld Hotel","Terre Haute","IN",2,3
"Una Hotel Forte Dei Marmi","Lake Elmo","MN",2.33333333333333,3
"Villa Carlotta","Medina","WA",4.5,4
"Vista Hotel On Lake Tarpon","Palm Harbor","FL",2,2
"Warwick Denver","Denver","CO",3.5,6
"Western Inn-glacier Park","Columbia Falls","MT",2.66666666666667,3
"Wine Valley Lodge","Napa","CA",3.36363636363636,11
"Wingate By Wyndham Pueblo","Pueblo","CO",3.7,10
